Strength,VIX,Outcome_Success
20.0,0.10605030548242647,1
20.0,0.08905505166846517,0
20.0,0.09286199495409703,1
13.664439934796787,0.08470427416070278,1
20.0,0.08008156657553533,0
20.0,0.07518694187930264,0
20.0,0.08851120447999483,1
20.0,0.07532290691800514,1
20.0,0.059143430369919175,0
20.0,0.05560841716169235,0
20.0,0.05248129906957308,1
20.0,0.04826647363417344,1
20.0,0.04636301495769726,1
20.0,0.06063901986296735,0
20.0,0.05819170103168106,0
20.0,0.04459550835358381,1
19.76370772957904,0.0387491413527733,0
20.0,0.04092453010665448,1
20.0,0.0369816347486599,1
20.0,0.042828001749470435,0
20.0,0.04935418097745378,1
11.743402259554237,0.03793337705323771,0
20.0,0.03793337705323771,0
20.0,0.05139360469263243,1
20.0,0.06988442206696241,1
20.0,0.07246770593695115,1
20.0,0.05139360469263243,0
20.0,0.05397687559628145,1
20.0,0.05465668782345426,0
20.0,0.04745070933463785,0
20.0,0.041876272411232346,1
20.0,0.04894628586134625,0
20.0,0.0504418753543944,0
20.0,0.03942895357994611,0
20.0,0.03806932912560049,0
20.0,0.04785859148440563,1
20.0,0.04908225090004875,0
20.0,0.042963966788172936,0
20.0,0.042963966788172936,0
20.0,0.05628822938886516,1
20.0,0.05520053501192457,1
20.0,0.056968041616037995,0
20.0,0.05030591031569187,0
20.0,0.04636301495769726,1
20.0,0.042148189522297624,0
20.0,0.04486742546464911,0
20.0,0.041876272411232346,1
20.0,0.039292988541243606,0
20.0,0.040108765807118946,0
20.0,0.040108765807118946,0
20.0,0.04541127265311942,1
20.0,0.043915696126411025,0
20.0,0.045819167769226954,1
20.0,0.0504418753543944,0
20.0,0.05139360469263243,1
20.0,0.045139355542054144,0
20.0,0.05411284063498398,0
20.0,0.05506456997322204,1
20.0,0.0726036580093139,1
20.0,0.09231814776562669,1
20.0,0.10033990352031846,1
20.0,0.07845002501012444,0
20.0,0.07586675410647548,1
20.0,0.12100612261486937,1
20.0,0.12671649864429788,0
20.0,0.09857238394986528,0
20.0,0.10142759789725905,1
20.0,0.11624744999099942,0
20.0,0.09816451476643726,0
20.0,0.12848401821475106,1
